,molecule_chembl_id,units,IC50,smiles,pIC50
180,CHEMBL258107,nM,580.0,CNCC1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,6.236572006437063
181,CHEMBL272364,nM,4000.0,CC1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,5.3979400086720375
182,CHEMBL272572,nM,550.0,O=C(Nc1nccs1)c1ccc2cc3n(c2c1)CC(CO)NC3=O,6.259637310505756
183,CHEMBL257888,nM,1400.0,NC[C@H]1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,5.853871964321762
184,CHEMBL404224,nM,160.0,NC[C@@H]1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,6.795880017344075
185,CHEMBL257887,nM,1100.0,O=C(Nc1nccs1)c1ccc2cc3n(c2c1)CCNC3=O,5.958607314841775
186,CHEMBL257321,nM,1200.0,CC1Cn2c(cc3ccc(C(=O)Nc4cccnc4)cc32)C(=O)N1,5.920818753952375
187,CHEMBL255180,nM,2300.0,NC[C@H]1Cn2c(cc3ccc(C(=O)Nc4cccnc4)cc32)C(=O)N1,5.638272163982407
188,CHEMBL402957,nM,320.0,NC[C@@H]1Cn2c(cc3ccc(C(=O)Nc4cccnc4)cc32)C(=O)N1,6.494850021680094
189,CHEMBL404908,nM,1700.0,O=C(Nc1cccnc1)c1ccc2cc3n(c2c1)CCNC3=O,5.769551078621726
190,CHEMBL269988,nM,210.0,CNCC1Cc2c([nH]c3ccc(C(=O)Nc4nccs4)cc23)C(=O)N1,6.6777807052660805
